,-4,-710,192,,,,,,
425,8448,13756,-2520,31.78,-192,322,340,,
426,8584,13460,-2432,31.78,-800,-328,555,,
427,8784,13604,-1864,31.68,-1357,-542,313,,
428,8792,13968,-2152,31.73,-1565,559,1472,,
429,8140,13348,-2476,31.78,896,1917,-418,,
430,9044,13604,-1736,31.78,967,1978,-3788,,
431,9172,13952,-1496,31.78,-1219,-2692,74,,
432,8528,13768,-2688,31.73,-1754,-3052,3423,,
433,8376,13660,-2096,31.68,313,63,-833,,
434,8744,13616,-2360,31.78,1636,618,-224,,
435,8844,13428,-1700,31.78,-652,-2583,424,,
436,8528,13652,-2572,31.82,-1212,-1030,1119,,
437,8684,13624,-2236,31.68,311,619,-729,,
438,8928,13500,-2196,31.78,-100,348,203,,
439,8928,13420,-1712,31.78,-424,-52,-202,,
440,8480,13484,-1996,31.78,-701,1445,-415,,
441,8856,13368,-2948,31.87,-870,1493,517,,
442,9036,13476,-1448,31.68,-10,1474,-312,,
443,9112,13344,-1500,31.64,-2285,45,213,,
444,8808,13460,-1732,31.68,-1626,1048,-423,,
445,9280,13656,-1784,31.73,-857,207,-594,,
446,9180,13888,-1500,31.64,816,71,-307,,
447,8872,13448,-1312,31.64,-417,-738,-962,,
448,8640,13740,-1500,31.82,-564,-937,-364,,
449,8764,13732,-1612,31.68,461,-287,-621,,
450,8804,13756,-1520,31.68,527,-1357,-169,,
451,8436,13856,-1968,31.82,441,-1716,-81,,
452,8608,13532,-2092,31.73,763,-970,-739,,
453,8400,13628,-2376,31.78,1760,-585,-66,,
454,8532,13904,-1936,31.68,1641,-638,-429,,
455,8392,13436,-2728,31.78,-323,-1213,839,,
456,8388,13612,-3064,31.73,-1082,-1029,-239,,
457,8356,13464,-2756,31.78,-252,-665,-13,,
458,8352,13460,-2820,31.82,-595,-1181,147,,
459,8376,13492,-2716,31.82,-1176,-957,-395,,
460,8444,13596,-2716,31.68,-341,170,-611,,
461,8504,13476,-2628,31.73,-129,26,232,,
462,8372,13448,-2532,31.78,-1076,-352,109,,
463,8412,13628,-2768,31.73,-832,45,-562,,
464,8488,13564,-2680,31.78,-459,110,-305,,
465,8472,13572,-2608,31.78,-851,-238,1,,
466,8448,13612,-2768,31.87,-843,-312,244,,
467,8412,13568,-2648,31.78,-708,-160,-80,,
468,8380,13664,-2760,31.68,-582,-125,-157,,
469,8428,13680,-2420,31.82,-626,-254,-25,,
470,8488,13700,-2532,31.73,-807,-295,20,,
471,8396,13572,-2520,31.73,-365,-112,-38,,
472,8448,13596,-2472,31.73,-464,-371,-213,,
473,8392,13688,-2380,31.78,-440,-399,-192,,
474,8404,13692,-2408,31.64,-339,-397,-19,,
475,8480,13748,-2336,31.73,-455,-305,-322,,
476,8348,13736,-2460,31.73,-328,-231,-279,,
477,8392,13640,-2164,31.68,-365,-450,-147,,
478,8396,13624,-2268,31.68,-466,-494,-124,,
479,8316,13624,-2192,31.73,-518,-273,-252,,
480,8268,13684,-2388,31.73,-507,-146,-99,,
481,8476,13664,-2128,31.73,-539,-141,-83,,
482,8376,13580,-2396,31.73,-364,77,-118,,
483,8512,13680,-2208,31.82,-384,91,-134,,
484,8516,13708,-2416,31.64,-277,125,133,,
485,8572,13600,-2396,31.73,-277,52,-163,,
486,8588,13624,-2336,31.78,-215,-60,48,,
487,8620,13652,-2344,31.78,-320,-399,83,,
488,8384,13728,-2128,31.73,-466,-309,-95,,
489,8496,13684,-2360,31.78,-551,-312,-41,,
490,8500,13616,-2324,31.78,-397,-239,-221,,
491,8460,13692,-2380,31.87,-448,-196,-11,,
492,8604,13588,-2312,31.78,-369,-218,-151,,
493,8412,13572,-2236,31.73,-408,-240,-100,,
494,8508,13652,-2396,31.73,-497,-339,71,,
495,8320,13684,-2308,31.82,-519,-334,58,,
496,8380,13576,-2356,31.73,-299,-192,-72,,
497,8448,13532,-2308,31.82,-251,-234,-126,,
498,8440,13588,-2304,31.78,-267,-234,-150,,
499,8592,13704,-2424,31.87,-224,-163,-32,,
500,8428,13720,-2216,31.73,-227,-146,-106,,
501,8408,13600,-2180,31.82,-139,-297,-171,,
502,8520,13676,-2304,31.78,-376,-221,-149,,
503,8444,13636,-2416,31.78,-311,0,-229,,
