,-184864,-4192,30.74,-2214,996,-62,,
435,4256,12120,-8260,31.07,449,574,-390,
436,4380,12336,-8448,30.98,-594,-321,-371,
437,4028,12404,-9208,30.88,-81,169,-19,
438,4216,12256,-8180,30.93,13,178,-88,
439,4244,12224,-8424,30.98,-576,-670,-278,
440,4240,12476,-8208,30.98,-403,64,-187,
441,4256,12204,-8324,31.07,-468,-324,92,
442,4560,12292,-8332,31.02,-21,-16,-153,
443,4476,12196,-8524,31.02,-787,-633,-28,
444,4208,12296,-8192,30.88,-384,37,-265,
445,4504,12344,-8076,30.88,58,139,-205,
446,4536,12100,-8196,30.93,-386,-360,-48,
447,4112,12276,-8380,31.02,-537,-191,27,
448,4352,12212,-8292,30.98,-570,-474,-135,
449,4440,12032,-8304,31.07,-457,-244,-38,
450,4340,12256,-8412,30.88,-379,-173,-150,
451,4300,12444,-8336,30.98,-415,-503,-85,
452,4144,12316,-8412,30.98,-293,-147,-123,
453,4096,12276,-7852,30.98,-255,76,-235,
454,4268,12292,-8168,30.93,-386,-203,-116,
455,4472,12436,-7888,30.98,-199,49,-165,
456,4392,12480,-8368,30.93,-203,-68,-325,
457,4532,12264,-8512,30.98,-427,-58,-130,
458,4108,11928,-8108,30.88,-518,-197,-169,
459,4384,12384,-7840,30.98,-49,121,-363,
460,4284,12084,-8364,30.98,-320,-39,-83,
461,4428,12000,-8196,30.93,-342,-243,-144,
462,4224,12440,-8052,30.93,10,228,-154,
463,4328,12136,-8568,30.98,-617,-667,-117,
464,4192,12160,-8300,30.93,-525,37,-133,
465,4332,12076,-8248,30.88,-404,-375,-55,
466,4188,12184,-8748,30.98,-505,-556,-17,
467,4320,12208,-8340,30.88,-583,-29,-242,
468,4084,12412,-8360,30.98,-354,-494,-134,
469,4212,12028,-8236,30.98,-409,-418,-161,
470,4240,12236,-8304,30.88,-478,-27,-112,
471,4080,12340,-8476,30.98,-534,-506,-61,
472,4320,12160,-8652,30.93,-114,-492,-139,
473,4040,12380,-8232,30.98,-305,-201,-107,
474,3960,12468,-7564,30.88,-157,-82,-130,
475,4176,12356,-8176,30.88,-431,-261,-213,
476,4360,12324,-8324,30.98,-410,-185,-55,
477,4132,12244,-8196,30.98,-322,-341,-184,
478,4072,12348,-8012,30.98,-145,18,11,
479,4576,12080,-8444,30.88,-326,-304,-79,
480,4336,12360,-8308,30.98,-197,90,-143,
481,4468,12052,-8732,30.98,-507,-358,-73,
482,4436,12272,-8284,30.88,-165,25,-157,
483,4528,12184,-9228,31.02,-108,47,-97,
484,4720,12280,-8068,30.98,-658,-489,-330,
485,4464,12476,-7844,30.98,-222,449,-692,
486,4368,12324,-7392,30.88,148,775,-251,
487,4140,12276,-8520,30.93,-459,-205,-391,
488,4048,12752,-7820,30.93,-67,820,-730,
489,4340,12040,-8076,30.93,-992,-701,-434,
